"inv_ctry","tech_group","total_inventors","female_inventors","female_share_inventors","total_graduates","female_graduates","female_share_graduates","stem_fields","country"
"AT","Chemistry",2289,375,0.163826998689384,35750.071,11067.186,0.309571021551258,"F05, F06, F07","Austria"
"AT","Electrical Engineering",2736,78,0.0285087719298246,35750.071,11067.186,0.309571021551258,"F05, F06, F07","Austria"
"AT","Instruments",1521,66,0.0433925049309665,35750.071,11067.186,0.309571021551258,"F05, F06, F07","Austria"
"AT","Mechanical Engineering",2106,48,0.0227920227920228,35750.071,11067.186,0.309571021551258,"F05, F06, F07","Austria"
"AT","Other Fields",482,15,0.0311203319502075,35750.071,11067.186,0.309571021551258,"F05, F06, F07","Austria"
"AU","Chemistry",2701,433,0.160310995927434,77083.851,23701.165,0.30747250808733,"F05, F06, F07","Australia"
"AU","Electrical Engineering",2880,194,0.0673611111111111,77083.851,23701.165,0.30747250808733,"F05, F06, F07","Australia"
"AU","Instruments",2427,210,0.0865265760197775,77083.851,23701.165,0.30747250808733,"F05, F06, F07","Australia"
"AU","Mechanical Engineering",1718,73,0.0424912689173458,77083.851,23701.165,0.30747250808733,"F05, F06, F07","Australia"
"AU","Other Fields",1068,76,0.0711610486891386,77083.851,23701.165,0.30747250808733,"F05, F06, F07","Australia"
"BE","Chemistry",3925,759,0.193375796178344,44321,13035,0.294104374901288,"F05, F06, F07","Belgium"
"BE","Electrical Engineering",2582,221,0.0855925639039504,44321,13035,0.294104374901288,"F05, F06, F07","Belgium"
"BE","Instruments",1457,152,0.104323953328758,44321,13035,0.294104374901288,"F05, F06, F07","Belgium"
"BE","Mechanical Engineering",1472,101,0.0686141304347826,44321,13035,0.294104374901288,"F05, F06, F07","Belgium"
"BE","Other Fields",322,21,0.0652173913043478,44321,13035,0.294104374901288,"F05, F06, F07","Belgium"
"BR","Chemistry",725,139,0.191724137931034,31388,13946,0.444309927360775,"F05, F06, F07","Brazil"
"BR","Electrical Engineering",546,41,0.0750915750915751,31388,13946,0.444309927360775,"F05, F06, F07","Brazil"
"BR","Instruments",323,26,0.0804953560371517,31388,13946,0.444309927360775,"F05, F06, F07","Brazil"
"BR","Mechanical Engineering",554,28,0.0505415162454874,31388,13946,0.444309927360775,"F05, F06, F07","Brazil"
"BR","Other Fields",159,10,0.0628930817610063,31388,13946,0.444309927360775,"F05, F06, F07","Brazil"
"CA","Chemistry",7540,1138,0.150928381962865,64086.483,23754.418,0.370661906973425,"F05, F06, F07","Canada"
"CA","Electrical Engineering",16762,1196,0.0713518673189357,64086.483,23754.418,0.370661906973425,"F05, F06, F07","Canada"
"CA","Instruments",6302,661,0.104887337353221,64086.483,23754.418,0.370661906973425,"F05, F06, F07","Canada"
"CA","Mechanical Engineering",6407,336,0.0524426408615577,64086.483,23754.418,0.370661906973425,"F05, F06, F07","Canada"
"CA","Other Fields",3067,174,0.0567329638082817,64086.483,23754.418,0.370661906973425,"F05, F06, F07","Canada"
"CH","Chemistry",5793,1034,0.178491282582427,29641,8543,0.28821564724537,"F05, F06, F07","Switzerland"
"CH","Electrical Engineering",4780,251,0.052510460251046,29641,8543,0.28821564724537,"F05, F06, F07","Switzerland"
